id,serial_number,script,date,numerical_date_start,numerical_date_end,cla_volume,cla_number,provenance,provenance_type,provenance_lat,provenance_lon,contents,support,name,url,tm_number,is_public,created_at,updated_at,deleted_at,image_name,image_copyright,image_source_url,facsimile_url,script_commentary,admin_notes,library_id,city,library,library_lat,library_lon,,
6,6,Anglo-Saxon Minuscule,VIII–IX,701,900,1,4,"Origin uncertain, but doubtless some continental centre with Anglo-Saxon traditions. Used as fly-leaf to a MS of Hieronymus in Epistulam Pauli ad Galatas, in minuscule saec. IX, from Corbie. The two other known MSS of Theodorus also come from Corbie (London Harley 3063 and Amiens 88).",0,,,"Theodorus Mopsuestenus, In Epistulam Pauli ad Timotheum 2 (fragm.); Ambrosiaster, Commentarii in Paulum Apostolum 2.",Parchment,,,TM 66098,1,2/18/2016 16:22:59,12/15/2016 15:27:00,,,,,,Written rapidly in continental Anglo-Saxon minuscule with a fine pen: **r** is easily mistaken for **n**; **d** has an **s**-like flourish; **s** goes below the line. ,☛See also CLA [5.**4](https://elmss.nuigalway.ie/catalogue/872).,12,Paris,Bibliothèque Nationale de France,48.856614,2.352222,http://elmss.nuigalway.ie/api/v1/catalogue/6,http://elmss.nuigalway.ie/catalogue/6
73,73,Anglo-Saxon Majuscule,VIII,701,800,1,63,"Written probably in England, in part by a scribe Wigbald (fol. 153). The MS has been used as a Lectionary; a considerable number of notes in Insular minuscule saec. VIII–IX occur. The few corrections are all in Insular.",3,,,Testamentum Novum. Evangelia.,Parchment,,,TM 66160,1,2/18/2016 16:22:59,10/31/2016 11:34:37,,,,,http://digi.vatlib.it/view/MSS_Barb.lat.570,"The script is by many hands of various degrees of expertness, the majuscule sometimes large, sometimes tending to minuscule. At line-ends the last letter or letters are frequently suprascript.","☛McGurk, Gospel books no. 137. ☛Gamber, CLLA Suppl. 408.
",1,Vatican City,Biblioteca del Vaticano,41.90374,12.454952,http://elmss.nuigalway.ie/api/v1/catalogue/73,http://elmss.nuigalway.ie/catalogue/73
89,89,Anglo-Saxon Minuscule,VIII,701,800,1,78,"Written by Edilberict, son of Berictfrid (fol. 46), probably in the north of England. The tur-symbol points to an English scriptorium, as do the vernacular glosses, but script and decoration point to Ireland. Later in Germany, probably at Lorsch: a probatio pennae 'CUNIBRAHT' is found on fol. 46v.",2,,,Glossa in Psalmos (39–151).,Parchment,,,TM 66174,1,2/18/2016 16:23:00,12/16/2016 10:33:55,,,,,http://digi.vatlib.it/view/bav_pal_lat_68,"Written in rapid and expert fine minuscule. Each psalm begins with an uncoloured initial of strikingly angular Insular type, followed by a group of larger letters often in majuscule. The bow of **p** has a tag which makes the letter resemble **R**; the cross-stroke of **t** is often high above the line. In the text occur vernacular glosses marked by oblique apices.","☛M. McNamara, Glossa in psalmos (Studi e testi 310) 1986.",1,Vatican City,Biblioteca del Vaticano,41.90374,12.454952,http://elmss.nuigalway.ie/api/v1/catalogue/89,http://elmss.nuigalway.ie/catalogue/89
90,90,Anglo-Saxon Minuscule,VIII–IX,701,900,1,79,Origin presumably Lorsch. The Lorsch ex-libris saec. IX occurs on fol. 1.,1,,,"Hieronymus, In Matthaeum (Vetus Latina lemmata).",Parchment,,,TM 66175,1,2/18/2016 16:23:00,11/23/2016 15:23:06,,,,,http://digi.vatlib.it/view/bav_pal_lat_177,"Written in expert, but rather artificial, minuscule, with frequent use of majuscule **N**, **R**, **S**; **ti**-ligature occurs.","Houghton, Latin New Testament, p. 228: text from this manuscript used to extend lemmata for CLA [6.736](https://elmss.nuigalway.ie/catalogue/1141).",1,Vatican City,Biblioteca del Vaticano,41.90374,12.454952,http://elmss.nuigalway.ie/api/v1/catalogue/90,http://elmss.nuigalway.ie/catalogue/90
95,95,Anglo-Saxon Majuscule and Anglo-Saxon Minuscule,VIII–IX,701,900,1,83,"Written in an Anglo-Saxon centre on the Continent. The occasional use of **hl** before insertions in the margin may point to Lorsch. On fol. 182v occurs the entry: 'alpgter defunctus', probably an obit.",3,,,"Augustinus, De Trinitate.",Parchment,,,TM 66179,1,2/18/2016 16:23:00,12/16/2016 10:37:30,,,,,http://digi.vatlib.it/view/bav_pal_lat_202,"Written by many scribes, some using a roundish hand with majuscule elements, others pointed
minuscule with cursive ligatures, in which the **ti**-ligature resembles **q** and the **gi**-ligature **S**; one hand uses the theta-shaped **e**.",,1,Vatican City,Biblioteca del Vaticano,41.90374,12.454952,http://elmss.nuigalway.ie/api/v1/catalogue/95,http://elmss.nuigalway.ie/catalogue/95
107,107,Anglo-Saxon Minuscule,VIII–IX,701,900,1,95,"Origin uncertain, but probably an Anglo-Saxon centre on the Continent; in any case the MS was on the Continent soon after it was written. The last page contains numerous probationes pennae in ordinary minuscule, among them the name Hildihalt.",0,,,"Egbertus, Poenitentiale.",Parchment,,,TM 66191,1,2/18/2016 16:23:00,12/16/2016 15:11:47,,,,,http://digi.vatlib.it/view/bav_pal_lat_554/0015,"Written in a rather angular minuscule, but the first page is in majuscule; **g** before **r** and **n** has the s-like form.",,1,Vatican City,Biblioteca del Vaticano,41.90374,12.454952,http://elmss.nuigalway.ie/api/v1/catalogue/107,http://elmss.nuigalway.ie/catalogue/107
109,109,Anglo-Saxon Minuscule,VIII–IX,701,900,1,97,"Written, or perhaps only rubricated, by Herimundus (fol. 31v) in a continental centre of Anglo-Saxon tradition. The MS was certainly at Mainz by 1479, and belonged to the church of St Martin: ex-libris and old shelf-mark on fol. 2.",3,,,"Dionysius Exiguus, Canones.",Parchment,,,TM 66193,1,2/18/2016 16:23:00,12/16/2016 10:43:36,,,,,,"Written in expert, graceful Anglo-Saxon characters of continental type: **e** is often theta-shaped; **s** and **r** go well below the line; majuscule **N** occurs occasionally; **i**-longa is used.",,1,Vatican City,Biblioteca del Vaticano,41.90374,12.454952,http://elmss.nuigalway.ie/api/v1/catalogue/109,http://elmss.nuigalway.ie/catalogue/109
140,1597,Anglo-Saxon Majuscule verging on Minuscule,VIII ex,776,800,10,**1124 (+ 8.1124),"Written presumably in an Anglo-Saxon centre on the Continent, together with a number of other grammatical texts also used for binding purposes in the fifteenth century at Reichenau (cf. CLA, [8.1125](http://elmss.nuigalway.ie/catalogue/1592), [1126](http://elmss.nuigalway.ie/catalogue/1593), [1127](http://elmss.nuigalway.ie/catalogue/1595), [1129](http://elmss.nuigalway.ie/catalogue/1598)).",2,,,"Charisius, Ars Grammatica (2–3, fragm.).",Parchment,,,TM 67264,1,2/18/2016 16:23:00,1/4/2017 9:54:27,,,,,,"Script is a small, rather poorly written Anglo-Saxon majuscule verging on minuscule. For further details, see under Karlsruhe (CLA [8.1124](http://elmss.nuigalway.ie/catalogue/1591)).",,25,Karlsruhe,Badische Landesbibliothek,49.00689,8.403653,http://elmss.nuigalway.ie/api/v1/catalogue/140,http://elmss.nuigalway.ie/catalogue/140
142,1575,Anglo-Saxon Majuscule and Minuscule,VIII ex,776,800,10,**1127,"Written in an Anglo-Saxon scriptorium presumably on the Continent, probably the same one that produced other Karlsruhe grammatical fragments treated in CLA [8.1124](http://elmss.nuigalway.ie/catalogue/1591), [1125](http://elmss.nuigalway.ie/catalogue/1592), [1126](http://elmss.nuigalway.ie/catalogue/1593). Later at Reichenau, where it was used for binding purposes. The St Paul fragments come from St Blasien in the Black Forest; they belonged to the collection formed by the Prince-Abbot Martin Gerbert.",2,,,"Bonifatius, Epistula ad Sigebertum; Tatuinus, Ars Grammatica (fragm.).",Parchment,,,TM 67267,1,2/18/2016 16:23:00,1/4/2017 10:00:22,,,,,,"Script, by several hands, is partly Anglo-Saxon majuscule with **n** and **r** regularly minuscule, partly Anglo-Saxon majuscule verging on minuscule, and partly a rather curious Anglo-Saxon minuscule; one hand recalls the Gotha Aldhelm (CLA [8.1207](https://elmss.nuigalway.ie/catalogue/1685)); **g** resembles a flat-topped **3**.","☛Formerly Sankt Paul im Lavanttal, Stiftsbibliothek 29.4.9 (foll. 5–6).",49,Sankt Paul im Lavanttal,Stiftsbibliothek,46.70563,14.86741,http://elmss.nuigalway.ie/api/v1/catalogue/142,http://elmss.nuigalway.ie/catalogue/142
156,1694,Anglo-Saxon Minuscule,VIII–IX,701,900,10,**842,"Written apparently at Fulda, as the Basel portion suggests. Later history of the Copenhagen fragments unknown.",1,,,"Isidorus, De Natura Rerum.",Parchment,,,TM 66981,1,2/18/2016 16:23:00,1/4/2017 9:31:44,,,,,,"Script is a slim Anglo-Saxon minuscule of a distinctly continental type, with long descenders. For further details, see under Basel (CLA [7.842](http://elmss.nuigalway.ie/catalogue/1295)).",,47,Basel,Universitätsbibliothek,47.567442,7.597551,http://elmss.nuigalway.ie/api/v1/catalogue/156,http://elmss.nuigalway.ie/catalogue/156
